"order_info_id","order_id","tz_result","tz_money","win_code","win_result","win_money"
"66","DXH1000000063","3","1","666","4,16,2","0"
"67","DXH1000000064","4","5","491","1,14,19,11","0"
"68","DXH1000000065","1","15","556","3,15,16","0"
"69","DXH1000000066","3","10","33","3,10,13","21"
"70","DXH1000000067","3","10","107","3,11,10,17","21"
"71","DXH1000000068","1","5","318","3,13,11,18","0"
"72","DXH1000000069","3","30","676","2,16,17","0"
"73","DXH1000000070","1","6","539","3,15,13,19","0"
"74","DXH1000000071","3","30","483","1,14,18,13","0"
"75","DXH1000000072","1","5","878","2,18,17","0"
"76","DXH1000000073","4","5","364","3,13,16,14","0"
"77","DXH1000000074","3","188","819","3,18,11,19","395"
"78","DXH1000000075","3","10","351","1,13,15,11","0"
"79","DXH1000000076","1","20","279","3,12,17,19","0"
"80","DXH1000000077","3","30","499","3,14,19","62"
"81","DXH1000000078","1","30","105","3,11,10,15","0"
"82","DXH1000000079","1","50","86","3,10,18,16","0"
"83","DXH1000000080","1","22","399","3,13,19","0"
"84","DXH1000000081","1","100","344","3,13,14","0"
"85","DXH1000000082","1","200","720","1,17,12,10","416"
"86","DXH1000000083","1","16","711","1,17,11","33"
"87","DXH1000000084","3","30","418","3,14,11,18","62"
"88","NINE1000000001","2","10","","110","20"
"89","NINE1000000002","2","20","","111","40"
"90","DXH1000000085","1","20","794","1,17,19,14","42"
"91","DXH1000000086","3","30","455","3,14,15","62"
"92","DXH1000000087","1","20","295","3,12,19,15","0"
"93","NINE1000000003","2","30","","0","0"
"94","NINE1000000004","3","50","","111","100"
"95","NINE1000000005","3","50","","0","0"
"96","NINE1000000006","2","100","","1","0"
"97","NINE1000000007","2","200","","100","0"
"98","NINE1000000008","2","300","","100","0"
"99","NINE1000000009","2","100","","0","0"
"100","NINE1000000010","2","200","","111","400"
"101","NINE1000000011","2","200","","0","0"
"102","DXH1000000088","1","200","852","1,18,15,12","416"
"103","DXH1000000089","3","200","852","1,18,15,12","0"
"104","NINE1000000012","2","300","","0","0"
"105","NINE1000000013","2","16","","1","0"
"106","DXH1000000090","1","200","73","3,10,17,13","0"
"107","DXH1000000091","1","500","660","1,16,10","1040"
"108","DXH1000000092","1","100","954","1,19,15,14","208"
"109","DXH1000000093","1","100","46","3,10,14,16","0"
"110","DXH1000000094","1","300","82","3,10,18,12","0"
"111","DXH1000000095","1","500","619","3,16,11,19","0"
"112","DXH1000000096","3","1000","0","4,10,2","0"
"113","NINE1000000014","1","500","","1","0"
"114","DXH1000000097","1","1000","468","3,14,16,18","0"
"115","DXH1000000098","3","500","257","3,12,15,17","1040"
"116","DXH1000000099","3","200","431","1,14,13,11","0"
"117","DXH1000000100","3","500","578","3,15,17,18","1040"
"118","DXH1000000101","1","300","734","1,17,13,14","624"
"119","DXH1000000102","3","200","697","3,16,19,17","416"
"120","NINE1000000015","1","200","","0","0"
"121","NINE1000000016","1","400","","11","0"
"122","NINE1000000017","1","1000","","111","2000"
"123","NINE1000000018","1","200","","111","400"
"124","NINE1000000019","1","100","","10","0"
"125","DXH1000000103","3","200","284","3,12,18,14","416"
"126","DXH1000000104","1","100","624","1,16,12,14","208"
"127","DXH1000000105","1","100","679","3,16,17,19","0"
"128","NINE1000000020","1","200","","10","0"
"129","DXH1000000106","1","300","330","1,13,10","624"
"130","NINE1000000021","1","500","","11","0"
"131","DXH1000000107","1","10","550","1,15,10","21"
"132","NINE1000000022","1","1000","","10","0"
"133","NINE1000000023","1","2000","","0","0"
"134","DXH1000000108","1","10","220","1,12,10","21"
"135","NINE1000000024","1","3000","","0","0"
"136","DXH1000000109","3","2000","312","1,13,11,12","0"
"137","DXH1000000110","3","10","532","1,15,13,12","0"
"138","NINE1000000025","1","1000","","111","2000"
"139","DXH1000000111","1","20","606","2,16,10","0"
"140","DXH1000000112","2","10","440","1,14,10","0"
"141","DXH1000000113","3","20","321","1,13,12,11","0"
"142","DXH1000000114","3","10","468","3,14,16,18","21"
"143","DXH1000000115","3","10","743","1,17,14,13","0"
"144","DXH1000000116","1","300","239","3,12,13,19","0"
"145","DXH1000000117","1","600","138","3,11,13,18","0"
"146","DXH1000000118","1","1500","606","2,16,10","0"
"147","DXH1000000119","3","500","73","3,10,17,13","1040"
"148","DXH1000000120","1","1000","909","2,19,10","0"
"149","DXH1000000121","1","1500","257","3,12,15,17","0"
"150","DXH1000000122","1","522","321","1,13,12,11","1086"
"151","DXH1000000123","3","1000","624","1,16,12,14","0"
"152","DXH1000000124","1","2000","385","3,13,18,15","0"
"153","DXH1000000125","1","3000","55","3,10,15","0"
"154","DXH1000000126","1","4000","330","1,13,10","8320"
"155","DXH1000000127","1","500","569","3,15,16,19","0"
